scene,method,split_name,status,returncode,source_path,model_path,iterations,resolution,runtime_sec,num_images,initial_points,metric_iteration,train_l1,train_psnr,saved_point_cloud,point_cloud_bytes,log_path,views,selection
tandt/train,3dgs_sparse,2views_quality,success,0,datasets\sparse_scenes\tandt\train\2views_quality,results\method_outputs\tandt\train\3dgs_sparse\2views_quality,200,4,5.605704100002185,2,4399,200,0.0683922052383422,19.991714477539062,results\method_outputs\tandt\train\3dgs_sparse\2views_quality\point_cloud\iteration_200\point_cloud.ply,1092481,results\method_outputs\tandt\train\3dgs_sparse\2views_quality\train_console.log,2,quality
tandt/train,3dgs_sparse,3views_quality,success,0,datasets\sparse_scenes\tandt\train\3views_quality,results\method_outputs\tandt\train\3dgs_sparse\3views_quality,200,4,5.665153499998269,3,4702,200,0.0651583313941955,20.412129211425786,results\method_outputs\tandt\train\3dgs_sparse\3views_quality\point_cloud\iteration_200\point_cloud.ply,1167625,results\method_outputs\tandt\train\3dgs_sparse\3views_quality\train_console.log,3,quality
tandt/train,3dgs_sparse,5views_quality,success,0,datasets\sparse_scenes\tandt\train\5views_quality,results\method_outputs\tandt\train\3dgs_sparse\5views_quality,200,4,5.863861600002565,5,10707,200,0.0660750344395637,20.7783260345459,results\method_outputs\tandt\train\3dgs_sparse\5views_quality\point_cloud\iteration_200\point_cloud.ply,2656866,results\method_outputs\tandt\train\3dgs_sparse\5views_quality\train_console.log,5,quality
tandt/train,3dgs_sparse,8views_quality,success,0,datasets\sparse_scenes\tandt\train\8views_quality,results\method_outputs\tandt\train\3dgs_sparse\8views_quality,200,4,6.240034900001774,8,14520,200,0.0702843144536018,19.951505279541017,results\method_outputs\tandt\train\3dgs_sparse\8views_quality\point_cloud\iteration_200\point_cloud.ply,3602490,results\method_outputs\tandt\train\3dgs_sparse\8views_quality\train_console.log,8,quality
tandt/train,3dgs_sparse,12views_quality,success,0,datasets\sparse_scenes\tandt\train\12views_quality,results\method_outputs\tandt\train\3dgs_sparse\12views_quality,200,4,6.937989700003527,12,20939,200,0.0774246275424957,19.68314666748047,results\method_outputs\tandt\train\3dgs_sparse\12views_quality\point_cloud\iteration_200\point_cloud.ply,5194402,results\method_outputs\tandt\train\3dgs_sparse\12views_quality\train_console.log,12,quality
tandt/train,3dgs_sparse,20views_quality,success,0,datasets\sparse_scenes\tandt\train\20views_quality,results\method_outputs\tandt\train\3dgs_sparse\20views_quality,200,4,7.500957500000368,20,36524,200,0.0808029755949974,19.66426582336426,results\method_outputs\tandt\train\3dgs_sparse\20views_quality\point_cloud\iteration_200\point_cloud.ply,9059482,results\method_outputs\tandt\train\3dgs_sparse\20views_quality\train_console.log,20,quality
tandt/train,3dgs_sparse,2views_random,success,0,datasets\sparse_scenes\tandt\train\2views_random,results\method_outputs\tandt\train\3dgs_sparse\2views_random,200,4,5.1758239999981015,2,9266,200,0.056614239513874,21.279908752441408,results\method_outputs\tandt\train\3dgs_sparse\2views_random\point_cloud\iteration_200\point_cloud.ply,2299497,results\method_outputs\tandt\train\3dgs_sparse\2views_random\train_console.log,2,random
tandt/train,3dgs_sparse,3views_random,success,0,datasets\sparse_scenes\tandt\train\3views_random,results\method_outputs\tandt\train\3dgs_sparse\3views_random,200,4,5.419024099996022,3,13356,200,0.0650181904435157,20.166584777832032,results\method_outputs\tandt\train\3dgs_sparse\3views_random\point_cloud\iteration_200\point_cloud.ply,3313818,results\method_outputs\tandt\train\3dgs_sparse\3views_random\train_console.log,3,random
tandt/train,3dgs_sparse,5views_random,success,0,datasets\sparse_scenes\tandt\train\5views_random,results\method_outputs\tandt\train\3dgs_sparse\5views_random,200,4,5.745932799996808,5,22172,200,0.0660272762179374,19.67116928100586,results\method_outputs\tandt\train\3dgs_sparse\5views_random\point_cloud\iteration_200\point_cloud.ply,5500186,results\method_outputs\tandt\train\3dgs_sparse\5views_random\train_console.log,5,random
tandt/train,3dgs_sparse,8views_random,success,0,datasets\sparse_scenes\tandt\train\8views_random,results\method_outputs\tandt\train\3dgs_sparse\8views_random,200,4,5.96171769999637,8,31535,200,0.079820641875267,18.54588966369629,results\method_outputs\tandt\train\3dgs_sparse\8views_random\point_cloud\iteration_200\point_cloud.ply,7822210,results\method_outputs\tandt\train\3dgs_sparse\8views_random\train_console.log,8,random
tandt/train,3dgs_sparse,12views_random,success,0,datasets\sparse_scenes\tandt\train\12views_random,results\method_outputs\tandt\train\3dgs_sparse\12views_random,200,4,6.503621399999247,12,44856,200,0.0999676868319511,17.79818935394287,results\method_outputs\tandt\train\3dgs_sparse\12views_random\point_cloud\iteration_200\point_cloud.ply,11125818,results\method_outputs\tandt\train\3dgs_sparse\12views_random\train_console.log,12,random
tandt/train,3dgs_sparse,20views_random,success,0,datasets\sparse_scenes\tandt\train\20views_random,results\method_outputs\tandt\train\3dgs_sparse\20views_random,200,4,7.1618673999983,20,63066,200,0.1052405342459678,16.59903221130371,results\method_outputs\tandt\train\3dgs_sparse\20views_random\point_cloud\iteration_200\point_cloud.ply,15641898,results\method_outputs\tandt\train\3dgs_sparse\20views_random\train_console.log,20,random
tandt/train,3dgs_sparse,2views_uniform,success,0,datasets\sparse_scenes\tandt\train\2views_uniform,results\method_outputs\tandt\train\3dgs_sparse\2views_uniform,200,4,5.119279200000165,2,9305,200,0.0792113646864891,19.48954849243164,results\method_outputs\tandt\train\3dgs_sparse\2views_uniform\point_cloud\iteration_200\point_cloud.ply,2309169,results\method_outputs\tandt\train\3dgs_sparse\2views_uniform\train_console.log,2,uniform
tandt/train,3dgs_sparse,3views_uniform,success,0,datasets\sparse_scenes\tandt\train\3views_uniform,results\method_outputs\tandt\train\3dgs_sparse\3views_uniform,200,4,5.320271199998388,3,12194,200,0.0752029538154602,19.39999847412109,results\method_outputs\tandt\train\3dgs_sparse\3views_uniform\point_cloud\iteration_200\point_cloud.ply,3025642,results\method_outputs\tandt\train\3dgs_sparse\3views_uniform\train_console.log,3,uniform
tandt/train,3dgs_sparse,5views_uniform,success,0,datasets\sparse_scenes\tandt\train\5views_uniform,results\method_outputs\tandt\train\3dgs_sparse\5views_uniform,200,4,5.323078300003544,5,19876,200,0.0890696495771408,17.16664695739746,results\method_outputs\tandt\train\3dgs_sparse\5views_uniform\point_cloud\iteration_200\point_cloud.ply,4930778,results\method_outputs\tandt\train\3dgs_sparse\5views_uniform\train_console.log,5,uniform
tandt/train,3dgs_sparse,8views_uniform,success,0,datasets\sparse_scenes\tandt\train\8views_uniform,results\method_outputs\tandt\train\3dgs_sparse\8views_uniform,200,4,5.818830700001854,8,30520,200,0.0946119040250778,17.08352909088135,results\method_outputs\tandt\train\3dgs_sparse\8views_uniform\point_cloud\iteration_200\point_cloud.ply,7570490,results\method_outputs\tandt\train\3dgs_sparse\8views_uniform\train_console.log,8,uniform
tandt/train,3dgs_sparse,12views_uniform,success,0,datasets\sparse_scenes\tandt\train\12views_uniform,results\method_outputs\tandt\train\3dgs_sparse\12views_uniform,200,4,6.303779299996677,12,42125,200,0.1001417599618434,17.578235626220703,results\method_outputs\tandt\train\3dgs_sparse\12views_uniform\point_cloud\iteration_200\point_cloud.ply,10448530,results\method_outputs\tandt\train\3dgs_sparse\12views_uniform\train_console.log,12,uniform
tandt/train,3dgs_sparse,20views_uniform,success,0,datasets\sparse_scenes\tandt\train\20views_uniform,results\method_outputs\tandt\train\3dgs_sparse\20views_uniform,200,4,7.11039040000469,20,70183,200,0.137058575451374,14.980771446228028,results\method_outputs\tandt\train\3dgs_sparse\20views_uniform\point_cloud\iteration_200\point_cloud.ply,17406914,results\method_outputs\tandt\train\3dgs_sparse\20views_uniform\train_console.log,20,uniform
